Icon,Name,Name 2,Name 3,Artist,Artist 2,Game,Game 2,Game 3,Pack,Update,Release,YouTube,Radio Station,Radio Station 2,DMCA Safe,Song Type,Original Song,Simlish,Album,Album 2,Album 3,Game Full Title
The_Sims_Icon.webp,SIMnata #13,Piano Sonata K.333 No.13 in B Flat Major – III Allegretto,,Wolfgang Amadeus Mozart,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=GsL2tefvYmY,Classical,,N,Licensed,,N,,,,The Sims
The_Sims_Icon.webp,SIMnata #15,Piano Sonata K.545 No.16 in C Major – II Andante,,Wolfgang Amadeus Mozart,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=3IDJHuXLS4w,Classical,,N,Licensed,,N,The Sims (Original Soundtrack),,,The Sims
The_Sims_Icon.webp,SIMnata #4,Piano Sonata K.282 No.3 in E Flat Major – III Allegro,,Wolfgang Amadeus Mozart,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=ORrz35x5kpA,Classical,,N,Licensed,,N,The Sims (Original Soundtrack),"The Sims Social, Vol. 4: Classical, Jazz & Latin",,The Sims
The_Sims_Icon.webp,SIMnata #12,Piano Sonata K.332 No.12 in F Major – II Adagio,,Wolfgang Amadeus Mozart,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=J_lH1afvqv0,Classical,,N,Licensed,,N,"The Sims Social, Vol. 4: Classical, Jazz & Latin",,,The Sims
The_Sims_Icon.webp,SIMnata #5,Piano Sonata K.283 No.3 in G Major – Presto,,Wolfgang Amadeus Mozart,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=n--JeH7hYWQ,Classical,,N,Licensed,,N,"The Sims Social, Vol. 4: Classical, Jazz & Latin",,,The Sims
The_Sims_Icon.webp,Oh Sims,,,Jerry Martin,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=F-06KxHFwSs,Rock,,Y,Original,,Y,,,,The Sims
The_Sims_Icon.webp,That's Hot,,,Jerry Martin,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=ciK2NiILOnw,Rock,,Y,Original,,Y,,,,The Sims
The_Sims_Icon.webp,Yea Yai Yo,,,Jerry Martin,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=W3aod2o5UEs,Rock,,Y,Original,,Y,,,,The Sims
The_Sims_Icon.webp,SIM Hagar,,,Jerry Martin,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=kZf2ohV77MI,Rock,,Y,Original,,Y,The Sims (Original Soundtrack),,,The Sims
The_Sims_Icon.webp,Middle Finger (Consensus),,,Jerry Martin,,The Sims,,,,,2000-02-04,https://www.youtube.com/watch?v=Hf8cU7aQ9LE,Rock,,Y,Original,,Y,,,,The Sims
